geometry,lat,lon,name,facility_type,category,priority,addr:street,addr:city,addr:postcode,phone,website,opening_hours,operator,capacity,building
POINT (112.74494928114426 -7.2869607063476485),-7.2869607063476485,112.74494928114426,PG/TK SD SMP Anugerah Pekerti,school,education,2,,,,,,,,,school
POINT (112.74317554071744 -7.286372585824578),-7.286372585824578,112.74317554071744,Pasar Dinoyo Tangsi,marketplace,community,4,,,,,,,,,marketplace
POINT (112.74321160035674 -7.286875944055077),-7.286875944055077,112.74321160035674,Masjid Waqaf At Tawwabin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7465061212002 -7.283461418853997),-7.283461418853997,112.7465061212002,Kantor Pegadaian,government,government,3,,,,,,,,,government_office
POINT (112.74696379999999 -7.284709799999999),-7.284709799999999,112.74696379999999,PAUD Tunas Pancasila,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7554077395423 -7.2574391453912215),-7.2574391453912215,112.7554077395423,Polsekta Tambaksari,police,emergency,1,,,,,,,,,police
POINT (112.75522150167691 -7.257501507320635),-7.257501507320635,112.75522150167691,Kantor Kecamatan Tambak Sari,government,government,3,,,,,,,,,subdistrict_office
POINT (112.74007945958829 -7.264245925889909),-7.264245925889909,112.74007945958829,Masjid Ibrahim,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75632842655853 -7.266345043483905),-7.266345043483905,112.75632842655853,Masjid Jendral Sudirman,place_of_worship,community,4,Dharmawangsa,Surabaya,,,,,,,mosque
POINT (112.73824150000002 -7.2637015499999995),-7.2637015499999995,112.73824150000002,Puskesmas Kedungdoro,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.73823620000002 -7.264175950000001),-7.264175950000001,112.73823620000002,Masjid Sholeh,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.76800447532293 -7.302123155186978),-7.302123155186978,112.76800447532293,Balai RW 5,government,government,3,,,,,,,,,community_group_office
POINT (112.76653064999999 -7.30051305),-7.30051305,112.76653064999999,SMK 17 Agustus 1945,school,education,2,,,,,,,,,school
POINT (112.76682955000001 -7.299466199999999),-7.299466199999999,112.76682955000001,Poliklinik Utama UNTAG Surabaya,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.76805972585596 -7.298227489060185),-7.298227489060185,112.76805972585596,SMP 17 Agustus 1945 Surabaya,school,education,2,,,,,,,,,yes
POINT (112.76700615503826 -7.299465026322978),-7.299465026322978,112.76700615503826,PMI Gerai Unit Donor Darah,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.76774644999999 -7.299485999999998),-7.299485999999998,112.76774644999999,Masjid Baitul Fikri,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75084704317646 -7.251294841107895),-7.251294841107895,112.75084704317646,SD Negeri Kapasari V - 296,school,education,2,,,,,,,,,yes
POINT (112.77619320000001 -7.292516899999999),-7.292516899999999,112.77619320000001,Kantor RW 05 Klampis Ngasem,government,government,3,,,,,,,,,community_group_office
POINT (112.74650672376723 -7.2498690794662055),-7.2498690794662055,112.74650672376723,Vihara Dana Maitreya,place_of_worship,community,4,,,,,,,,,temple
POINT (112.75199001879608 -7.256320286411538),-7.256320286411538,112.75199001879608,Gereja Bethel Indonesia Ambengan,place_of_worship,community,4,,,,,,,,,church
POINT (112.7829515 -7.245754),-7.245754,112.7829515,Masjid Miftahul Huda,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75482980082418 -7.2526887791325745),-7.2526887791325745,112.75482980082418,Poliklinik PMI,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.7546594906777 -7.250824581668334),-7.250824581668334,112.7546594906777,SD Negeri Tambaksari III,school,education,2,,,,,,,,,school
POINT (112.75478054329398 -7.252930976149665),-7.252930976149665,112.75478054329398,TK Krisnamurti 1,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7540144999059 -7.253582250853169),-7.253582250853169,112.7540144999059,Koperasi PKK,government,government,3,,,,,,,,,government_office
POINT (112.74764304962333 -7.2556314570697875),-7.2556314570697875,112.74764304962333,SD Negeri Ketabang 1,school,education,2,,,,,,,,,school
POINT (112.77839625007489 -7.2487767832098635),-7.2487767832098635,112.77839625007489,PAUD Gading Arum,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.77847854999999 -7.248794100000002),-7.248794100000002,112.77847854999999,Balai RW 9,government,government,3,,,,,,,,,community_group_office
POINT (112.77834380000002 -7.2482553),-7.2482553,112.77834380000002,Kantor Kelurahan Gading,government,government,3,,,,,,,,,village_office
POINT (112.7544357639124 -7.252814179771227),-7.252814179771227,112.7544357639124,Masjid Al-Azar,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.77567005646557 -7.296414794062943),-7.296414794062943,112.77567005646557,BBC Kidz,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.75418985944299 -7.254356054274823),-7.254356054274823,112.75418985944299,Dinas Bina Marga,government,government,3,,,,,,,,,government_office
POINT (112.75452448472699 -7.256242325334252),-7.256242325334252,112.75452448472699,Gereja Katolik Kristus Raja Surabaya,place_of_worship,community,4,Jl. Residen Sudirman,Surabaya,60131,+62 31 5032532,,,,,yes
POINT (112.75151345000002 -7.255027599999999),-7.255027599999999,112.75151345000002,Masjid Al-Mu'allimin Jalan Ambengan Batu Tengah,place_of_worship,community,4,,,,,,,,,yes
POINT (112.75260749999998 -7.25580305),-7.25580305,112.75260749999998,TK Ambengan Batu,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.752622339841 -7.255176466715155),-7.255176466715155,112.752622339841,Masjid Al Muallimin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75579725000001 -7.255421200000002),-7.255421200000002,112.75579725000001,PAUD FIP UNESA,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.75802849835353 -7.252520918282726),-7.252520918282726,112.75802849835353,Klinik Bersama,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.7564123 -7.250784299999999),-7.250784299999999,112.7564123,Mushola Ji'ronah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75597295000001 -7.271624550000002),-7.271624550000002,112.75597295000001,Kantor Kecamatan Gubeng,government,government,3,,,,,,,,,subdistrict_office
POINT (112.76020305108744 -7.268759257968006),-7.268759257968006,112.76020305108744,Balai Besar Pengawasan Obat dan Makanan,government,government,3,,,,,,,,,government_office
POINT (112.80117353109267 -7.289225234848102),-7.289225234848102,112.80117353109267,PAUD Keputih Ceria,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.8010146299099 -7.289884423494721),-7.289884423494721,112.8010146299099,Play Group Bintang Kecil,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.78905112545891 -7.282400892288357),-7.282400892288357,112.78905112545891,Masjid Baitur Rouf,place_of_worship,community,4,,,,,,,,,yes
POINT (112.78865635215125 -7.282783931073544),-7.282783931073544,112.78865635215125,Langgar Wakaf Al-Hidayah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75353264999998 -7.248702099999998),-7.248702099999998,112.75353264999998,Masjid Attaqwa,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79795197422241 -7.240925778556958),-7.240925778556958,112.79795197422241,TK Aisyah 19,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.80229000524642 -7.247226217965103),-7.247226217965103,112.80229000524642,Klenteng Sanggar Agung,place_of_worship,community,4,,,,,,,,,temple
POINT (112.7513765274326 -7.25626843311055),-7.25626843311055,112.7513765274326,Kantor Kelurahan Ketabang,government,government,3,,,,,,,,,village_office
POINT (112.76027164999998 -7.266883450000001),-7.266883450000001,112.76027164999998,Masjid As Syifa,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75701218056783 -7.250360719671938),-7.250360719671938,112.75701218056783,Balai RW I Ploso,government,government,3,,,,,,,,,community_group_office
POINT (112.75911415 -7.252847150000001),-7.252847150000001,112.75911415,Masjid Baitul Qodir,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75082288248552 -7.244948547344937),-7.244948547344937,112.75082288248552,Balai RW IV Kapasari,government,government,3,,,,,,,,,community_group_office
POINT (112.73876028233464 -7.2801983365797565),-7.2801983365797565,112.73876028233464,Esther House Of Beauty,clinic,healthcare,1,,,,,,,,,yes
POINT (112.77091048201886 -7.281817150537852),-7.281817150537852,112.77091048201886,TK Islam Nurul Qur'an,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7849318092822 -7.288485469469357),-7.288485469469357,112.7849318092822,Perpustakaan BPPNFI Kemendik ud Regional 4,government,government,3,,,,,,,,,government_office
POINT (112.78524302236498 -7.288470923156933),-7.288470923156933,112.78524302236498,Perpustakaan BPPNFI Kemendik ud Regional 4,library,education,2,,,,,,,,,library
POINT (112.76934186467545 -7.2457650185030555),-7.2457650185030555,112.76934186467545,Masjid Al-Ishlah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.74232041570144 -7.275884145586489),-7.275884145586489,112.74232041570144,Masjid Mubarak,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.74210952281139 -7.275668965865873),-7.275668965865873,112.74210952281139,TK MI SMP Mabadie Khoiri Ummah,school,education,2,,,,,,,,,school
POINT (112.76524365 -7.248329799999999),-7.248329799999999,112.76524365,Masjid Nabaussalam,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.765375 -7.248387299999999),-7.248387299999999,112.765375,Balai RW Putro Agung,government,government,3,,,,,,,,,community_group_office
POINT (112.76616340889557 -7.249411285454199),-7.249411285454199,112.76616340889557,"TK, SD, SMP Mandala",school,education,2,,,,,,,,,school
POINT (112.78479246838792 -7.290902984873704),-7.290902984873704,112.78479246838792,TK dan SD Petra 5,school,education,2,,,,,,,,,school
POINT (112.78307445495223 -7.289126381621264),-7.289126381621264,112.78307445495223,Masjid Assakienah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78474621380244 -7.28928995452422),-7.28928995452422,112.78474621380244,Kementerian Agama Kantor Urusan Agama,government,government,3,,,,,,,,,government_office
POINT (112.76190854999999 -7.26241785),-7.26241785,112.76190854999999,Klinik Satelit RS Islam Surabaya,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.75213716881736 -7.247663967063942),-7.247663967063942,112.75213716881736,Kantor Kelurahan Kapasari,government,government,3,,,,,,,,,village_office
POINT (112.75234433036867 -7.246831514821344),-7.246831514821344,112.75234433036867,TK Aisyiyah Bustanul Athfal 10,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7656337 -7.246653149999995),-7.246653149999995,112.7656337,SMA Tritunggal,school,education,2,,,,,,,,,school
POINT (112.76272776452338 -7.240672574052994),-7.240672574052994,112.76272776452338,SD Negeri Gading V & VIII,school,education,2,,,,,,,,,school
POINT (112.76358914542857 -7.240638765232508),-7.240638765232508,112.76358914542857,TK Masyitoh,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.76172808079079 -7.240663045461724),-7.240663045461724,112.76172808079079,LDII,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78031575 -7.2871698),-7.2871698,112.78031575,Musholla Kantor Kelurahan,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78109082680217 -7.288060439566593),-7.288060439566593,112.78109082680217,Kantor Koordinasi Perguruan Tinggi Swasta Wilayah 7 Jatim,government,government,3,,,,,,,,,government_office
POINT (112.78033930766821 -7.287360361724933),-7.287360361724933,112.78033930766821,Kantor Kelurahan Klampis Ngasem,government,government,3,,,,,,,,,village_office
POINT (112.77987865000001 -7.2403896),-7.2403896,112.77987865000001,Masjid Mirah Al Ikhlas,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78006703245816 -7.240433384388176),-7.240433384388176,112.78006703245816,TK Triguna Bhakti I,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.77820815338318 -7.24013369633594),-7.24013369633594,112.77820815338318,Kantor Kelurahan Dukuh Setro,government,government,3,,,,,,,,,village_office
POINT (112.77759115 -7.287551349999999),-7.287551349999999,112.77759115,Masjid An-Nur Klampis Aji,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.76298837580819 -7.2957749541322405),-7.2957749541322405,112.76298837580819,TK dan SD Kristen Santa Anna,school,education,2,,,,,,,,,kindergarten
POINT (112.7493945 -7.246069800000001),-7.246069800000001,112.7493945,Balai RW II Kapasari,government,government,3,,,,,,,,,community_group_office
POINT (112.74345563550595 -7.254336987874544),-7.254336987874544,112.74345563550595,RS Mata Undaan,hospital,healthcare,1,,,,,,,,,hospital
POINT (112.73599888574199 -7.263198382201694),-7.263198382201694,112.73599888574199,Balai RW 10,government,government,3,,,,,,,,,community_group_office
POINT (112.73606164446187 -7.263349639387545),-7.263349639387545,112.73606164446187,Kantor Kelurahan Kedungdoro,government,government,3,,,,,,,,,village_office
POINT (112.73562598451807 -7.2637304216345315),-7.2637304216345315,112.73562598451807,Masjid Nuurussalaam,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75451634999999 -7.305090350000001),-7.305090350000001,112.75451634999999,Masjid Baitul Mahfuudh,place_of_worship,community,4,,,,,,24/7,,,mosque
POINT (112.7826842050845 -7.290837961066238),-7.290837961066238,112.7826842050845,RS Ibu dan Anak Putri,hospital,healthcare,1,,Surabaya,,,,,,,hospital
POINT (112.78165917349938 -7.289709211220287),-7.289709211220287,112.78165917349938,TK Bina Tunas Bangsa,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.78215244999998 -7.291053349999999),-7.291053349999999,112.78215244999998,TK Al Qur'an,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.77801421014017 -7.257396129755144),-7.257396129755144,112.77801421014017,Puskesmas Kalijudan,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.77873793849164 -7.226931753919445),-7.226931753919445,112.77873793849164,SMP Taruna Jaya I,school,education,2,,,,,,,,,
POINT (112.76103135281882 -7.249187179391271),-7.249187179391271,112.76103135281882,Klinik Dokter Spesialis,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.79834044204021 -7.25019001305422),-7.25019001305422,112.79834044204021,Kursus Bahasa Tionghoa Yayasan SHHS,college,education,2,Jl. Sukolilo 100,,,,,,,,college
POINT (112.76693702949406 -7.239667485044635),-7.239667485044635,112.76693702949406,TK Tri Guna Bakti II,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.76353954406878 -7.289989493004655),-7.289989493004655,112.76353954406878,RS Manyar Medical Centre,hospital,healthcare,1,Jl. Raya Manyar,"Menur Pumpungan, Sukolilo, Surabaya, East Java",60118,,,,,,hospital
POINT (112.76633037181556 -7.289292492164973),-7.289292492164973,112.76633037181556,Poliklinik STIESIA umum dan gigi,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.75745914236231 -7.256498568974462),-7.256498568974462,112.75745914236231,Posyandu Kemuning IX,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.75699759999999 -7.25720525),-7.25720525,112.75699759999999,SMP Unggulan Bina Insana,school,education,2,,,,,,,,,school
POINT (112.75623251284988 -7.258839793502665),-7.258839793502665,112.75623251284988,Praktek Dokter Umum,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.77905751295413 -7.290878412593914),-7.290878412593914,112.77905751295413,Institut Teknologi Adhi Tama Surabaya,university,education,2,Jl. Arief Rachman Hakim,"Sukolio, East Java, Surabaya",60117,031-5946331,https://itats.ac.id/,,,,
POINT (112.77848995 -7.2891562),-7.2891562,112.77848995,Puskesmas Klampis Ngasem,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.76837595 -7.238206150000001),-7.238206150000001,112.76837595,Balai RW 01,government,government,3,,,,,,,,,community_group_office
POINT (112.76834921698952 -7.238245950234514),-7.238245950234514,112.76834921698952,TK Tunas Madya,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.76826608046828 -7.252433336307918),-7.252433336307918,112.76826608046828,Balai RW XI Ploso,government,government,3,,,,,,,,,community_group_office
POINT (112.76640613224806 -7.252930892562171),-7.252930892562171,112.76640613224806,SMP-SMA-SMEA Jaya Sakti,school,education,2,,,,,,,,,school
POINT (112.79355226021838 -7.250974099296854),-7.250974099296854,112.79355226021838,Masjid Al Mi'raj Komplek TNI AU Kenjeran,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79277397888858 -7.2312260421963135),-7.2312260421963135,112.79277397888858,Masjid Baabussalam,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79371250713942 -7.248948404158048),-7.248948404158048,112.79371250713942,Pusdiklat Hanudnas,townhall,government,3,,,,,,,,,yes
POINT (112.79262994999998 -7.2480709),-7.2480709,112.79262994999998,Kantor Pos Kenjeran,post_office,government,3,,,,,,,,,yes
POINT (112.79247006125742 -7.248021675814922),-7.248021675814922,112.79247006125742,Kantor Pos,post_office,government,3,,,,,,,,,post_office
POINT (112.79303625 -7.247219149999999),-7.247219149999999,112.79303625,Musholla Ar Rizqy,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.74595180148636 -7.285880962628797),-7.285880962628797,112.74595180148636,Gedung Keuangan Negara,government,government,3,,,,,,,,,government_office
POINT (112.7672265 -7.24630815),-7.24630815,112.7672265,Puskesmas Rangkah,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.76654861076773 -7.245939691852364),-7.245939691852364,112.76654861076773,TK Pertiwi,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.79195225701662 -7.256467428703037),-7.256467428703037,112.79195225701662,Majid Darussalam,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.76445857468737 -7.272801450356488),-7.272801450356488,112.76445857468737,SMP Muhammadiyah 9 Surabaya,school,education,2,,,,,,,,,school
POINT (112.77117211941885 -7.242245625996526),-7.242245625996526,112.77117211941885,SD Negeri Gading IV,school,education,2,,,,,,,,,school
POINT (112.73575670606017 -7.266542993616968),-7.266542993616968,112.73575670606017,Gereja Keluarga Allah Blessing,place_of_worship,community,4,,,,,,,,,yes
POINT (112.73602756389701 -7.266350481135003),-7.266350481135003,112.73602756389701,TKLB SDLB Yayasan Pendidikan Anak Buta,school,education,2,,,,,,,,,school
POINT (112.74879304999997 -7.249678199999999),-7.249678199999999,112.74879304999997,Yayasan Sahabat Sinoman Indonesia,place_of_worship,community,4,,,,,,,,,temple
POINT (112.77739178837712 -7.239778527567886),-7.239778527567886,112.77739178837712,Masjid Nurul Jadid,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78368548704128 -7.298742374478459),-7.298742374478459,112.78368548704128,Gereja Kristen Indonesia Araya,place_of_worship,community,4,,,,,,,,,church
POINT (112.78447250587108 -7.29770677846886),-7.29770677846886,112.78447250587108,Gereja Orthodox St. Iona dari Manchuria,place_of_worship,community,4,,,,,https://orthodox-surabaya.org,,,,house
POINT (112.77345715635337 -7.249724587948574),-7.249724587948574,112.77345715635337,Balai RW 02 Lebo Agung,government,government,3,,,,,,,,,community_group_office
POINT (112.77342236315604 -7.249770630205074),-7.249770630205074,112.77342236315604,TK Bhakti Pertiwi,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.77450176243802 -7.249037221048746),-7.249037221048746,112.77450176243802,Masjid Ash-Shiddiiq,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7841703 -7.2558510499999995),-7.2558510499999995,112.7841703,SMK PGRI 4 Surabaya,school,education,2,,,,,,,,,school
POINT (112.79003018944915 -7.2422196801970395),-7.2422196801970395,112.79003018944915,SMA Negeri 3 Surabaya,school,education,2,,,,,,,,,
POINT (112.74570164999999 -7.252570549999998),-7.252570549999998,112.74570164999999,TK Dahlia Ketabang,kindergarten,education,2,,,,,,,,,yes
POINT (112.74389019999998 -7.2522696),-7.2522696,112.74389019999998,Kantor Kelurahan Peneleh,government,government,3,,,,,,,,,village_office
POINT (112.79356733783024 -7.251324823385201),-7.251324823385201,112.79356733783024,Posyandu Elang RW 06,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.74538429353329 -7.249524833578118),-7.249524833578118,112.74538429353329,Masjid Muhajidin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73464410294402 -7.267575127913547),-7.267575127913547,112.73464410294402,Dinas Sosial,government,government,3,,,,,,,,,government_office
POINT (112.75759929395532 -7.255419866341205),-7.255419866341205,112.75759929395532,Masjid Rochman Arief,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.76093895000001 -7.236606500000002),-7.236606500000002,112.76093895000001,Masjid Taqwa,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.80104973468772 -7.247289678585746),-7.247289678585746,112.80104973468772,Patung Brahma,place_of_worship,community,4,,,,,,,,,temple
POINT (112.7720652 -7.249300900000001),-7.249300900000001,112.7720652,Masjid Al-Musyawaroh,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7798924 -7.294562600000002),-7.294562600000002,112.7798924,Masjid Mu'Thi,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.74168848102637 -7.256349010748137),-7.256349010748137,112.74168848102637,KUA Kecamatan Genteng,government,government,3,,,,,,,,,government_office
POINT (112.7352168 -7.268783),-7.268783,112.7352168,TK Tunas,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.79024637753203 -7.244555943439803),-7.244555943439803,112.79024637753203,Yayasan Masjid Al Mutaqien,school,education,2,,,,,,,,,
POINT (112.78972837670798 -7.2431051730090505),-7.2431051730090505,112.78972837670798,SMP Negeri 18 Surabaya,school,education,2,,,,,,,,,
POINT (112.73346475418313 -7.264169379705024),-7.264169379705024,112.73346475418313,TK Lestari,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.78320654764583 -7.251122399318479),-7.251122399318479,112.78320654764583,SD Santa Lorent,school,education,2,,,,,,,,,school
POINT (112.79457180000001 -7.30495665),-7.30495665,112.79457180000001,Masjid Al Ittihad,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79467725000002 -7.30471295),-7.30471295,112.79467725000002,Taman Kanak Kanak Bina Anaprasa Medokan Semampir,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.77836 -7.24327785),-7.24327785,112.77836,Citra Kasih School,kindergarten,education,2,,,,,,,,,yes
POINT (112.77772365 -7.245116649999999),-7.245116649999999,112.77772365,GKI Lebak Jaya,place_of_worship,community,4,,,,,,,,,church
POINT (112.77797845000002 -7.242723400000001),-7.242723400000001,112.77797845000002,Vihara Widiya Surya Padma,place_of_worship,community,4,,,,,,,,,temple
POINT (112.75371635670737 -7.248298859211584),-7.248298859211584,112.75371635670737,Bidan Ny Harini Lestari,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.76122825000002 -7.2386060500000005),-7.2386060500000005,112.76122825000002,"TK Aisyiyah Bustanul Athfal 65, KB Aisyiyah 08",kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.791325 -7.3032731),-7.3032731,112.791325,Posyandu Bahari RW 5,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.7613862 -7.238960950000002),-7.238960950000002,112.7613862,SD Muhammadiyah 10,school,education,2,,,,,,,,,school
POINT (112.76090159136261 -7.301132159491332),-7.301132159491332,112.76090159136261,Kantor POS Cabang Barata Jaya,post_office,government,3,,,,,,,,,post_office
POINT (112.78364207467185 -7.2635770908497),-7.2635770908497,112.78364207467185,Masjid Saifunnur,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78544340000002 -7.2629579500000006),-7.2629579500000006,112.78544340000002,UPTD Bina Pengelolaan Sekolah Surabaya II,government,government,3,,,,,,,,,government_office
POINT (112.76135465000002 -7.256867049999999),-7.256867049999999,112.76135465000002,PAUD Bougenvil,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.76247386719845 -7.256435600816633),-7.256435600816633,112.76247386719845,Masjid Gresikan I,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7627095 -7.257649900000001),-7.257649900000001,112.7627095,Masjid Al Ishlah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75561971191173 -7.248197987821652),-7.248197987821652,112.75561971191173,Kantor Kelurahan Tambakrejo,government,government,3,,,,,,,,,village_office
POINT (112.75554853422915 -7.248470981554942),-7.248470981554942,112.75554853422915,Puskesmas Tambak Rejo,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.78892883790742 -7.303343427234154),-7.303343427234154,112.78892883790742,Masjid Ibrahim Bin Muhammad,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.78977335 -7.3035030999999995),-7.3035030999999995,112.78977335,TK Hang Tuah 18,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7546861 -7.253265850000001),-7.253265850000001,112.7546861,Kantor Kelurahan Tambaksari,government,government,3,,,,,,,,,village_office
POINT (112.79827635 -7.2457091),-7.2457091,112.79827635,POS PAUD Terpadu Yasmin,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7984326215563 -7.245787453691904),-7.245787453691904,112.7984326215563,Mushollah Da'watus Sholihin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79724921394606 -7.247265416049146),-7.247265416049146,112.79724921394606,Masjid Miftahul Jannah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.79228455036515 -7.3068263960854045),-7.3068263960854045,112.79228455036515,SMA Islam Terpadu Al Uswah Surabaya,school,education,2,,,,,,,,,school
POINT (112.76464785419904 -7.239252855786114),-7.239252855786114,112.76464785419904,SMK PGRI 6,school,education,2,,,,,,,,,school
POINT (112.78767006265944 -7.303955415549526),-7.303955415549526,112.78767006265944,Gereja Oikumene,place_of_worship,community,4,,,,,,,,,church
POINT (112.75811127892337 -7.300810662765979),-7.300810662765979,112.75811127892337,Masjid Al Mu'minun,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73275959544065 -7.2647545692583),-7.2647545692583,112.73275959544065,TK Darul Ulum,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73647339559821 -7.264150471193003),-7.264150471193003,112.73647339559821,Balai RW 09,government,government,3,,,,,,,,,community_group_office
POINT (112.77626800594345 -7.24540791525599),-7.24540791525599,112.77626800594345,Masjid Mamba'urrokhim,place_of_worship,community,4,Jalan Lebak Jaya IIA,Surabaya,,,,,,,mosque
POINT (112.75963301659083 -7.240180279192413),-7.240180279192413,112.75963301659083,Posyandu Lansia Mandiri,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.77872685000003 -7.29816015),-7.29816015,112.77872685000003,Masjid Roudhotul Jannah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7780203 -7.2987220499999985),-7.2987220499999985,112.7780203,TK Aisyiyah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.778103058101 -7.298608179915222),-7.298608179915222,112.778103058101,Masjid Umar Bin Al-kath-thab,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.75948829999999 -7.255411),-7.255411,112.75948829999999,TK Krisnamurti 2,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.75822768294333 -7.254281934303899),-7.254281934303899,112.75822768294333,TK Wahyu Luhur,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73298014999999 -7.2661772000000004),-7.2661772000000004,112.73298014999999,Masjid Nashuha,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73340564124983 -7.266338691350192),-7.266338691350192,112.73340564124983,SD Negeri Kedungdoro V/310,school,education,2,,,,,,,,,school
POINT (112.73321089999999 -7.2664630500000005),-7.2664630500000005,112.73321089999999,Balai RW II Surabayan,government,government,3,,,,,,,,,community_group_office
POINT (112.78215415 -7.305137449999998),-7.305137449999998,112.78215415,SMP Negri 52 Surabaya,school,education,2,,,,,,,,,
POINT (112.78256444999998 -7.305174400000001),-7.305174400000001,112.78256444999998,Balai Rw 1 Kel.Medokan Semampir,government,government,3,,,,,,,,,community_group_office
POINT (112.78076814364839 -7.303802074213778),-7.303802074213778,112.78076814364839,PKBM Permata Bangsa,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.78201419999999 -7.302670600000001),-7.302670600000001,112.78201419999999,Masjid Al Istiqomah,place_of_worship,community,4,,,,,,,,,mosque
